taxa_name	pectoral_fin
Odontognathus_panamensis	1
Pimephales_promelas	1
Astroblepus_simonsii	1
Hypostomus_watwata	1
Paedocypris	1
Oryzias_latipes	1
Neoplecostomus_paranensis	1
Amphilius_atesuensis	1
Microdevario_kubotai	1
Bathybagrus_graueri	1
Apodichthys	1
Esox_niger	1
Notropis_oxyrhynchus	1
Euchiloglanis_davidi	1
Euchilichthys_guentheri	1
Lythrurus_ardens	1
Lepidorhombus_boscii	1
Relictus_solitarius	1
Heterotis	1
Lophiobagrus_aquilus	1
Pseudobagrus_pratti	1
Pteronotropis_welaka	1
Bryconops_alburnoides	1
Notropis_atrocaudalis	1
Exoglossum	1
Trichogenes_longipinnis	1
Rachycentron_canadum	1
Rineloricaria_jubata	1
Varasichthys_ariasi	1
Hypomasticus_despaxi	1
Auchenipterus_nuchalis	1
Gobionotothen_gibberifrons	1
Chiloglanis_sp._B_Vigliotta_2008	1
Micralestes_sp._Zanata_and_Vari_2005	1
Brycinus_aff._nurse_Zanata_and_Vari_2005	1
Gymnodraco_acuticeps	1
Gogangra_viridescens	1
Genidens_planifrons	1
Notropis_anogenus	1
Liobagrus_styani	1
Notropis_bairdi	1
Triodon_macropterus	1
Agosia_chrysogaster	1
Pseudotrematomus	1
Silurus_mento	1
Gvozdarus	1
Chiloglanis_sp._G_Vigliotta_2008	1
Tharsis_dubius	1
Corydoras_barbatus_sp._I_Britto_2003	1
Sabanejewia_aurata	1
Bryconops_affinis	1
Sciades_herzbergii	1
Glyptothorax_major	1
Breitensteinia_insignis	1
Brachyglanis_nocturnus	1
Sternarchorhamphus_muelleri	1
Silurus_glanis	1
Muraenidae	0
Leiocassis_micropogon	1
Chrysichthys_maurus	1
Assiculus	1
Eigenmannia_virescens	1
Noturus_flavus	1
Brycinus_imberi	1
Pterygoplichthys_etentaculatus	1
Tatia_boemia	1
Trichomycterus_catamarcensis	1
Ictalurus_lupus	1
Chaudhuria_fusipinnis	1
Liobagrus_nigricauda	1
Notropis_texanus	1
Oxydoras_niger	1
Tetragonopterus_argenteus	1
Parabrotulidae	1
Notropis_sp._"sawfin_shiner"_Coburn_and_Cavender_1992	1
Pimelodidae	1
Nemacheilus_rupecula	1
Bunocephalus_chamaizelus	1
Papyrocranus_congoensis	1
Hemigrammopetersius_barnardi	1
Hoplostethus_mediterraneus	1
Liparis_fabricii	1
Corydoras_bertoni	1
Pterodoras_sp._Royero_1999	1
Synodontis_sp._Mo_1991	1
Parastromateus_niger	1
Ixinandria_montebelloi	1
Macrognathus_pancalus	1
Sudis_atrox	1
Netuma_thalassina	1
Phenacorhamdia_sp._C_Bockmann_1998	1
Pagetopsis_maculatus	1
Schilbe_mystus	1
Leptobotia_curta	1
Astroblepus_grixalvii	1
Synodontis_notata	1
Parazen_pacificus	1
Pseudocheilinops	1
Corydoras_acutus	1
Chrysichthys_walkeri	1
Hydrolycus_armatus	1
Cinetodus_carinatus	1
Syncrossus_hymenophysa	1
Callichthyidae	1
Decapogon_sp._Schaefer_1987	1
Xyliphius_sp._Chen_1994	1
Schilbidae	1
Rhamdia_sp._Kailola_2004	1
Cynoglossidae	0
Trogloglanis_pattersoni	1
Hemibagrus_punctatus	1
Luxilus_pilsbryi	1
Hoplerythrinus_unitaeniatus	1
Corydoras_ambiacus	1
Sternopygus_astrabes	1
Corydoras_vittatus	1
Parauchenoglanis_ahli	1
Microdevario_nana	1
Trichiurus	1
Plicofollis_polystaphylodon	1
Anodus_elongatus	1
Tocantinsia_piresi	1
Erethistoides_montana	1
Malapterurus_electricus	1
Rhinichthys_falcatus	1
Brachionichthyidae	1
Liparis_liparis	1
Centrophryne_spinulosa	1
Apteronotus_magdalenensis	1
Rhabdalestes_septentrionalis	1
Chrysichthys_longipinnis	1
Amblydoras_sp._Friel_1994	1
Gymnotidae	1
Brycon_sp._Lucena_and_Menezes_1998	1
Synodontis_albolineata	1
Corydoras_barbatus_sp._II_Britto_2003	1
Neochanna_apoda	1
Gnathobagrus_depressus	1
Anablepidae	1
Saurida_brasiliensis	1
Enchodus_gracilis	1
Hydrolycus_tatauaia	1
Oryzias_setnai	1
Notropis_altipinnis	1
Alestes_baremoze	1
Ameiurus_brunneus	1
Pangio_kuhlii	1
Eumicrotremus_spinosus	1
Pseudotatia_parva	1
Xyliphius_melanopterus	1
Hypostomus_hondae	1
Aphanotorulus_unicolor	1
Chologaster_cornuta	1
Percophidae	1
Tatia_brunnea	1
Hoplunnis	1
Silurus_aristotelis	1
Luxilus_chrysocephalus	1
Malapterurus_beninensis	1
