taxa_name	pectoral_fin	pectoral_fin_inferred	pectoral_fin_propagated
Odontognathus_panamensis	1	1	0
Pimephales_promelas	1	2	0
Astroblepus_simonsii	1	2	0
Hypostomus_watwata	1	2	0
Oryzias_latipes	1	2	0
Neoplecostomus_paranensis	1	2	0
Amphilius_atesuensis	1	2	0
Microdevario_kubotai	1	2	0
Bathybagrus_graueri	1	2	0
Esox_niger	1	2	0
Notropis_oxyrhynchus	1	2	0
Euchiloglanis_davidi	1	2	0
Euchilichthys_guentheri	1	2	0
Lythrurus_ardens	1	2	0
Lepidorhombus_boscii	1	2	0
Relictus_solitarius	1	2	0
Lophiobagrus_aquilus	1	2	0
Pseudobagrus_pratti	1	2	0
Pteronotropis_welaka	1	2	0
Bryconops_alburnoides	1	2	0
Notropis_atrocaudalis	1	2	0
Trichogenes_longipinnis	1	2	0
Rachycentron_canadum	1	1	0
Rineloricaria_jubata	1	2	0
Varasichthys_ariasi	1	2	0
Hypomasticus_despaxi	1	2	0
Auchenipterus_nuchalis	1	2	0
Gobionotothen_gibberifrons	1	2	0
Chiloglanis_sp._B_Vigliotta_2008	1	2	0
Micralestes_sp._Zanata_and_Vari_2005	1	2	0
Brycinus_aff._nurse_Zanata_and_Vari_2005	1	2	0
Gymnodraco_acuticeps	1	2	0
Gogangra_viridescens	1	2	0
Genidens_planifrons	1	2	0
Notropis_anogenus	1	2	0
Liobagrus_styani	1	2	0
Notropis_bairdi	1	2	0
Triodon_macropterus	1	1	0
Agosia_chrysogaster	1	2	0
Silurus_mento	1	2	0
Chiloglanis_sp._G_Vigliotta_2008	1	2	0
Tharsis_dubius	1	2	0
Corydoras_barbatus_sp._I_Britto_2003	1	2	0
Sabanejewia_aurata	1	2	0
Bryconops_affinis	1	2	0
Sciades_herzbergii	1	2	0
Glyptothorax_major	1	2	0
Breitensteinia_insignis	1	2	0
Brachyglanis_nocturnus	1	2	0
Sternarchorhamphus_muelleri	1	2	0
Silurus_glanis	1	2	0
Leiocassis_micropogon	1	2	0
Chrysichthys_maurus	1	2	0
Eigenmannia_virescens	1	2	0
Noturus_flavus	1	2	0
Brycinus_imberi	1	2	0
Pterygoplichthys_etentaculatus	1	2	0
Tatia_boemia	1	2	0
Trichomycterus_catamarcensis	1	1	0
Ictalurus_lupus	1	2	0
Chaudhuria_fusipinnis	1	1	0
Liobagrus_nigricauda	1	2	0
Notropis_texanus	1	2	0
Oxydoras_niger	1	2	0
Tetragonopterus_argenteus	1	2	0
Notropis_sp._"sawfin_shiner"_Coburn_and_Cavender_1992	1	1	0
Nemacheilus_rupecula	1	2	0
Bunocephalus_chamaizelus	1	2	0
Papyrocranus_congoensis	1	1	0
Hemigrammopetersius_barnardi	1	2	0
Hoplostethus_mediterraneus	1	2	0
Liparis_fabricii	1	2	0
Corydoras_bertoni	1	2	0
Pterodoras_sp._Royero_1999	1	2	0
Synodontis_sp._Mo_1991	1	2	0
Parastromateus_niger	1	1	0
Ixinandria_montebelloi	1	2	0
Macrognathus_pancalus	1	1	0
Sudis_atrox	1	2	0
Netuma_thalassina	1	2	0
Phenacorhamdia_sp._C_Bockmann_1998	1	2	0
Pagetopsis_maculatus	1	2	0
Schilbe_mystus	1	2	0
Leptobotia_curta	1	2	0
Astroblepus_grixalvii	1	2	0
Synodontis_notata	1	2	0
Parazen_pacificus	1	2	0
Corydoras_acutus	1	2	0
Chrysichthys_walkeri	1	2	0
Hydrolycus_armatus	1	2	0
Cinetodus_carinatus	1	2	0
Syncrossus_hymenophysa	1	2	0
Decapogon_sp._Schaefer_1987	1	2	0
Xyliphius_sp._Chen_1994	1	2	0
Rhamdia_sp._Kailola_2004	1	2	0
Trogloglanis_pattersoni	1	2	0
Hemibagrus_punctatus	1	2	0
Luxilus_pilsbryi	1	2	0
Hoplerythrinus_unitaeniatus	1	2	0
Corydoras_ambiacus	1	2	0
Sternopygus_astrabes	1	2	0
Corydoras_vittatus	1	2	0
Parauchenoglanis_ahli	1	2	0
Microdevario_nana	1	2	0
Plicofollis_polystaphylodon	1	2	0
Anodus_elongatus	1	2	0
Tocantinsia_piresi	1	2	0
Erethistoides_montana	1	2	0
Malapterurus_electricus	1	2	0
Rhinichthys_falcatus	1	2	0
Liparis_liparis	1	2	0
Centrophryne_spinulosa	1	1	0
Apteronotus_magdalenensis	1	2	0
Rhabdalestes_septentrionalis	1	2	0
Chrysichthys_longipinnis	1	2	0
Amblydoras_sp._Friel_1994	1	2	0
Brycon_sp._Lucena_and_Menezes_1998	1	2	0
Synodontis_albolineata	1	2	0
Corydoras_barbatus_sp._II_Britto_2003	1	2	0
Neochanna_apoda	1	1	0
Gnathobagrus_depressus	1	2	0
Saurida_brasiliensis	1	2	0
Enchodus_gracilis	1	2	0
Hydrolycus_tatauaia	1	2	0
Oryzias_setnai	1	2	0
Notropis_altipinnis	1	2	0
Alestes_baremoze	1	2	0
Ameiurus_brunneus	1	2	0
Pangio_kuhlii	1	2	0
Eumicrotremus_spinosus	1	2	0
Pseudotatia_parva	1	2	0
Xyliphius_melanopterus	1	2	0
Hypostomus_hondae	1	2	0
Aphanotorulus_unicolor	1	2	0
Chologaster_cornuta	1	1	0
Tatia_brunnea	1	2	0
Silurus_aristotelis	1	2	0
Luxilus_chrysocephalus	1	2	0
Malapterurus_beninensis	1	2	0
Oryzias_minutillus	1	2	0
Notropis_imeldae	1	2	0
Ophisternon_bengalense	0	0	0
Mastacembelus_flavidus	1	1	0
Cobitis_taenia	1	2	0
Hoplomyzon_atrizona	1	2	0
Corydoras_osteocarus	1	2	0
Ophisternon_candidum	0	0	0
Notropis_harperi	1	2	0
Lipopterichthys_carrioni	1	2	0
Chrysichthys_wagenaari	1	2	0
Barbus_barbus	1	2	0
Curimata_macrops	1	2	0
Andersonia_leptura	1	2	0
Alestes_macrophthalmus	1	2	0
Paracetopsis_bleekeri	1	2	0
Scopelosaurus_hoedti	1	2	0
Cretatriacanthus_guidottii	1	2	0
Bathysaurus_ferox	1	2	0
Chrysichthys_aluuensis	1	2	0
Channichthys_rhinoceratus	1	2	0
Scopelarchoides_nicholsi	1	2	0
Leptodoras_sp._Friel_1994	1	2	0
Pinirampus_pirinampu	1	2	0
Pangasius_macronema	1	2	0
Artedidraco_orianae	1	2	0
Loricariidae_sp._Mo_1991	1	2	0
Hypsidoris_farsonensis	1	2	0
Pterodoras_rivasi	1	2	0
Synodontis_longirostris	1	2	0
Myoglanis_potaroensis	1	2	0
Acestridium_discus	1	2	0
Adontosternarchus_sachsi	1	2	0
Dekeyseria_pulchra	1	2	0
Rhodichthys_regina	1	1	0
Notropis_simus	1	2	0
Silurus_soldatovi	1	2	0
Champsocephalus_gunnari	1	2	0
Planiloricaria_sp._Britto_2003	1	2	0
Acanthocharax_microlepis	1	2	0
Apodocreedia_vanderhorsti	1	1	0
Platydoras_sp._Royero_1999	1	2	0
Liobagrus_reinii	1	2	0
Notropis_semperasper	1	2	0
Chiloglanis_sp._A_Vigliotta_2008	1	2	0
Lithoxus_lithoides	1	2	0
Pseudobunocephalus_iheringii	1	2	0
Pseudobagarius_macronemus	1	2	0
Anaethalion_cf._A._subovatus_Arratia_1999	1	2	0
Bagrus_docmak	1	2	0
Neblinichthys_pilosus	1	2	0
Eremophilus_mutisii	1	1	0
Centromochlus_n._sp._Royero_1999	1	2	0
Hemipsilichthys_gobio	1	2	0
Lestidium_atlanticum	1	2	0
Alosa_pseudoharengus	1	2	0
Hime_japonica	1	2	0
Leiocassis_doriae	1	2	0
Gastromyzon_borneensis	1	2	0
Chrysichthys_mabusi	1	2	0
Aphanius_apodus	1	1	0
Cetopsis_motatanensis	1	2	0
Austroglanis_sclateri	1	2	0
Papyrocranus_afer	1	1	0
Hemibagrus_baramensis	1	2	0
Centromochlus_perugiae	1	2	0
Bagrichthys_micranodus	1	2	0
Chrysichthys_johnelsi	1	2	0
Oncorhynchus_mykiss	1	2	0
Auchenipterus_dentatus	1	2	0
Cyprinella_formosa	1	2	0
Corydoras_ephippifer	1	2	0
Notropis_blennius	1	2	0
Ophisternon_infernale	0	0	0
Rhabdolichops_electrogrammus	1	2	0
Alabes_parvula	0	0	0
Apteronotus_cuchillo	1	2	0
Pteronotropis_hypselopterus	1	2	0
Acestrorhynchus_isalineae	1	2	0
Careproctus_rastrinus	1	2	0
Pseudobagrus_taphraphilus	1	2	0
