taxa_name	pectoral fin	
Isbrueckerichthys alipionis	1	
Bagre marinus	1	
Sudis hyalina	1	
Hoplomyzon sexpapilostoma	1	
Noturus stigmosus	1	
Centromochlus n. sp. (Royero 1999)	1	
Humbertia sp. (Arratia 1999)	1	
Schistura fowleriana	1	
Loricariinae sp. (Friel 1994)	1	
Olyra burmanica	1	
Chlorophthalmus atlanticus	1	
Dekeyseria pulchra	1	
Pseudotothyris obtusa	1	
Coryphaena equiselis	1	
Mochokus niloticus	1	
Centromochlus schultzi	1	
Uranoscopidae	1	
Astroblepus whymperi	1	
Lipopterichthys carrioni	1	
Megalops sp. (Fink and Fink 1981)	1	
Saccopharyngidae	1	
Electrophorus electricus	1	
Synodus scituliceps	1	
Parakysis verrucosus	1	
Amblyceps laticeps	1	
Coryphaena hippurus	1	
Mochokus brevis	1	
Noturus flavus	1	
Batrachocephalus mino	1	
Halimuraena	1	
Lipopterichthys sp. (Britto 2003)	1	
Centromochlus megalops	1	
Gonorynchus greyi	1	
Rita rita	1	
Parakysis anomalopteryx	1	
Erethistes sp. (Chen 1994)	1	
Astroblepus sp. (Britto 2003)	1	
Isbrueckerichthys duseni	1	
Rita gogra	1	
Brachysynodontis batensoda	1	
Notropis anogenus	1	
Osteogeneiosus militaris	1	
Centromochlus reticulatus	1	
Brachyplatystoma filamentosum	1	
Stomias boa	1	
Mastiglanis asopos	1	
Centromochlus sp. (Rio Negro) (Royero 1999)	1	
Prochilodus lineatus	1	
Notropis bairdi	1	
Nangra nangra	1	
Akysis sp. (Friel 1994)	1	
Lithogenes villosus	1	
Rusichthys	1	
Astroblepus longifilis	1	
Centromochlus romani	1	
Loricariidae sp. (Mo 1991)	1	
Chandramara chandramara	1	
Pimephales vigilax	1	
Anaspidoglanis macrostomus	1	
Rhabdalestes rhodesiensis	1	
Brycinus macrolepidotus	1	
Brachyglanis nocturnus	1	
Phenacobius crassilabrum	1	
Chrysichthys brachynema	1	
Notropis atrocaudalis	1	
Leporacanthicus galaxias	1	
Pterobunocephalus depressus	1	
Muraenidae	0	
Chrysichthys thonneri	1	
Notropis braytoni	1	
Liauchenoglanis maculatus	1	
Lophiobagrus brevispinis	1	
Bunocephalus coracoideus	1	
Piaractus mesopotamicus	1	
Brycinus longipinnis	1	
Imparfinis sp. n. (Bockman 1998)	1	
Chaetostoma sovichthys	1	
Scoloplacidae	1	
Botia dayi	1	
Triglidae	1	
Corydoras barbatus sp. II (Britto 2003)	1	
Neocyema erythrosoma	0 and 1	
Creediidae	1	
Sisor rabdophorus	1	
Anaethalion knorri	1	
Pogonophryne scotti	1	
Synodontis sorex	1	
Myoglanis potaroensis	1	
Austroglanididae	1	
Hypostomus sp. (Britto 2003)	1	
Osmeridae	1	
Bunocephalus verrucosus	1	
Nocomis leptocephalus	1	
Chiloglanis sp. A (Vigliotta 2008)	1	
Cranoglanis bouderius	1	
Pimephales notatus	1	
Loricariichthys labialis	1	
Ascalabos voithii	1	
Corydoras bertoni	1	
Eumicrotremus derjugini	1	
Wallago sp. (Mo 1991)	1	
Hybopsis amnis	1	
Anaethalion angustus	1	
Notropis spectrunculus	1	
Gnathocharax steindachneri	1	
Bulbonaricus	0	
Rharbichthys ferox	1	
Bryconaethiops microstoma	1	
Chiloglanis sp. E (Vigliotta 2008)	1	
Hexanematichthys sagor	1	
Assiculus	1	
Liposarcus sp. (Friel 1994)	1	
Lindbergichthys	1	
Eumicrotremus orbis	1	
Notropis chlorocephalus	1	
Gogangra viridescens	1	
Eumicrotremus spinosus	1	
Pterygoplichthys punctatus	1	
Corydoras xinguensis	1	
Hybopsis hypsinotus	1	
Anaethalion sp. (Arratia 1999)	1	
Yasuhikotakia modesta	1	
Simpsonichthys parallelus	1	
Pterygoplichthys lituratus	1	
Myoglanis sp. (Bockmann 1998)	1	
Apteronotus magdalenensis	1	
Eurypholis pulchellus	1	
Synodontis schall	1	
Notropis chrosomus	1	
Lestidium atlanticum	1	
Gordichthys	1	
Pimelodidae	1	
Paracheilinus	1	
Hypostomus albopunctatus	1	
Retropinnidae	1	
Pangasius pangasius	1	
Amblyceps murraystuarti	1	
Notropis petersoni	1	
Hybopsis lineapunctata	1	
Pseudacanthicus serratus	1	
Cephalocassis borneensis	1	
Gila crassicauda	1	
Cyclopterus lumpus	1	
Exostoma sp. (Chen 1994)	1	
Nocomis micropogon	1	
Triportheus albus	1	
Anoplogaster cornuta	1	
Notropis stramineus	1	
Hybopsis rubrifrons	1	
Sawbwa resplendens	1	
Hypophthalmus longifilis	1	
Profundulidae	1	
Sudis atrox	1	
Exostoma sp. (de Pinna 1996)	1	
Lythrurus	1	
Sternarchella schotti	1	
Hisonotus maculipinnis	1	
Notropis topeka	1	
Cephalocassis melanochir	1	
Cranoglanididae	1	
Loricariichthys sp. (Britto 2003)	1	
Nocomis raneyi	1	
Bagrus bajad	1	
Characidium cf. zebra (Buckup 1998)	1	
Astyanax	1	
Chaca burmensis	1	
Bagarius yarrelli	1	
Notropis calientis	1	
Gymnocorymbus sp. (Fink and Fink 1981)	1	
Entomocorus benjamini	1	
Pseudoloricaria sp. (Britto 2003)	1	
Sternarchella sima	1	
Lamprogrammus fragilis	1	
Luxilus cornutus	1	
Lamprogrammus exutus	1	
Galeichthys feliceps	1	
Pseudobagrus truncatus	1	
Nocomis effusus	1	
Oncorhynchus clarkii	1	
Saurida gracilis	1	
Trinectes maculatus	0	
Hemitremia flammea	1	
Chiloglanis sp. C (Vigliotta 2008)	1	
Parastromateus niger	1	
Lamprogrammus brunswigi	1	
Pseudacanthicus leopardus	1	
Luxilus chrysocephalus	1	
Trichonotidae	1	
Bagrichthys hypselopterus	1	
Corydoras barbatus sp. I (Britto 2003)	1	
Adrianichthys oophorus	1	
Saurida undosquamis	1	
Plotosus canius	1	
Linophrynidae	1	
Ancharius	1	
Silurus asotus	1	
Doras carinatus	1	
Notropis volucellus	1	
Chiloglanis macropterus	1	
Corydoras septentrionalis	1	
Hydrocynus forskahlii	1	
Wetmorella albofasciata	1	
Saurida tumbil	1	
Silurus aristotelis	1	
Glyptothorax trilineatus	1	
Notropis imeldae	1	
Entomocorus n. sp. (Royero 1999)	1	
Elops saurus	1	
Scoloplax dolicholophia	1	
Corydoras baderi	1	
Wetmorella nigropinnata	1	
Chaetostoma pearsei	1	
Notropis procne	1	
Gila	1	
Loricariichthys sp. (Schaefer 1987)	1	
Liparidae	1	
Opsariichthys bidens	1	
Hisonotus candombe	1	
Silurichthys phaiosoma	1	
