taxa_name	pectoral_fin	pectoral_fin_inferred	pectoral_fin_propagated
teleost environmental sample	?	?	?
Anaethalion subovatus	?	?	?
Anaethalion knorri	?	?	?
Anaethalion cirinensis	?	?	?
Anaethalion angustus	?	?	?
Anaethalion angustissimus	?	?	?
Anaethalion zapporum	?	?	?
Megalops cundinga	?	?	?
Megalops lissa	?	?	?
Megalops atlanticus	1	2	0
Megalops cyprinoides	1	2	0
Elops environmental sample	?	?	?
Elops lacerta	?	?	?
Elops senegalensis	?	?	?
Elops sp. ASU-18553	?	?	?
Elops sp. BOLD:AAB9386	?	?	?
Elops machnata	?	?	?
Elops smithi	?	?	?
Elops saurus	1	2	0
Elops affinis	1	2	0
Elops hawaiensis	1	2	0
Pterothrissus pervetustus	?	?	?
Pterothrissus belloci	?	?	?
Pterothrissus gissu	?	?	?
Albula goreensis	?	?	?
Albula cf. vulpes EMW-2014	?	?	?
Albula sp. EW-2008	?	?	?
Albula virgata	?	?	?
Albula oligolepis	?	?	?
Albula sp. BOLD:ABU5608	?	?	?
Albula glossodonta	?	?	?
Albula sp. A JJC-2000	?	?	?
Albula sp. BOLD:AAA3090	?	?	?
Albula gilberti	?	?	?
Albula sp. D JJC-2000	?	?	?
Albula pacifica	?	?	?
Albula koreana	?	?	?
Albula esuncula	?	?	?
Albula sp. 1 MVM-2009	?	?	?
Albula sp. BOLD:AAA3537	?	?	?
Albula neoguinaica	?	?	?
Albula sp. B JJC-2000	?	?	?
Albula nemoptera	?	?	?
Albula vulpes	?	?	?
Albula forsteri	?	?	?
Tilurus trichiurus	?	?	?
Tilurus gegenbauri	?	?	?
Lipogenys gillii	?	?	?
Notacanthus spinosus	?	?	?
Notacanthus indicus	?	?	?
Notacanthus chemnitzii	?	?	?
Notacanthus bonaparte	?	?	?
Notacanthus sexspinis	?	?	?
Notacanthus abbotti	?	?	?
Polyacanthonotus africanus	?	?	?
Polyacanthonotus merretti	?	?	?
Polyacanthonotus challengeri	?	?	?
Polyacanthonotus rissoanus	?	?	?
Halosauropsis macrochir	?	?	?
Halosaurus environmental sample	?	?	?
Halosaurus ridgwayi	?	?	?
Halosaurus guentheri	?	?	?
Halosaurus ovenii	?	?	?
Halosaurus radiatus	?	?	?
Halosaurus pectoralis	?	?	?
Halosaurus sinensis	?	?	?
Halosaurus attenuatus	?	?	?
Halosaurus johnsonianus	?	?	?
Halosaurus carinicauda	?	?	?
Aldrovandia oleosa	?	?	?
Aldrovandia rostrata	?	?	?
Aldrovandia gracilis	?	?	?
Aldrovandia mediorostris	?	?	?
Aldrovandia affinis	?	?	?
Aldrovandia phalacra	?	?	?
Myroconger seychellensis	1	1	1
Myroconger prolixus	1	1	1
Myroconger nigrodentatus	1	1	1
Myroconger gracilis	1	1	1
Myroconger compressus	1	1	1
Coloconger sp. PNG116	?	?	?
Coloconger japonicus	1	1	1
Coloconger canina	1	1	1
Coloconger giganteus	?	?	?
Coloconger meadi	1	1	1
Coloconger raniceps	1	1	1
Coloconger eximia	1	1	1
Coloconger scholesi	1	1	1
Coloconger cadenati	1	1	1
Protanguilla palau	?	?	?
Derichthys serpentinus	1	1	0
Nessorhamphus danae	1	1	0
Nessorhamphus ingolfianus	1	1	0
Neocyema erythrosoma	0&1	0&1	0
Cyema atrum	1	1	0
Xenoconger fryeri	0	0	0
Powellichthys ventriosus	?	?	?
Catesbya pseudomuraena	?	?	?
Boehlkenchelys longidentata	?	?	?
Robinsia catherinae	0	0	0
Chlopsis sagmacollaris	?	?	?
Chlopsis orientalis	?	?	?
Chlopsis nanhaiensis	?	?	?
Chlopsis bidentatus	0	0	1
Chlopsis bicollaris	0	0	1
Chlopsis dentatus	0	0	1
Chlopsis olokun	0	0	1
Chlopsis apterus	0	0	1
Chlopsis kazuko	0	0	1
Chlopsis bicolor	0	0	1
Chlopsis slusserorum	0	0	1
Chlopsis longidens	0	0	1
Chlopsis sp. BOLD:AAI4270	?	?	?
Chilorhinus platyrhynchus	?	?	?
Chilorhinus suensonii	?	?	?
Kaupichthys japonicus	1	1	1
Kaupichthys brachychirus	1	1	1
Kaupichthys atronasus	1	1	1
Kaupichthys hyoproroides	1	1	1
Kaupichthys nuchalis	1	1	1
Kaupichthys diodontus	1	1	1
Panturichthys isognathus	0	0	1
Panturichthys mauritanicus	0	0	1
Panturichthys longus	0	0	1
Panturichthys fowleri	0	0	1
Heterenchelys regularis	?	?	?
Pythonichthys macrurus	0	0	1
Pythonichthys sanguineus	0	0	1
Pythonichthys microphthalmus	0	0	1
Pythonichthys asodes	0	0	1
Neoconger tuberculatus	0	0	1
Neoconger vermiformis	0	0	1
Neoconger mucronatus	0	0	1
Moringua bicolor	0	0	1
Moringua ferruginea	0	0	1
Moringua hawaiiensis	?	?	?
Moringua arundinacea	0	0	1
Moringua penni	0	0	1
Moringua abbreviata	0	0	1
Moringua raitaborua	0	0	1
Moringua macrocephalus	0	0	1
Moringua macrochir	0	0	1
Moringua sp. 2 NH-2012	?	?	?
Moringua sp. 3 NH-2012	?	?	?
Moringua sp. 1 NH-2012	?	?	?
Moringua microchir	0	0	1
Moringua edwardsi	1	1	0
Moringua javanica	0	0	1
Synaphobranchidae environmental sample	?	?	?
