taxa_name	pectoral_fin	pectoral_fin_inferred	pectoral_fin_propagated
Megalops atlanticus	1	2	0
Megalops cyprinoides	1	2	0
Elops saurus	1	2	0
Elops affinis	1	2	0
Elops hawaiensis	1	2	0
Myroconger seychellensis	1	1	1
Myroconger prolixus	1	1	1
Myroconger nigrodentatus	1	1	1
Myroconger gracilis	1	1	1
Myroconger compressus	1	1	1
Coloconger japonicus	1	1	1
Coloconger canina	1	1	1
Coloconger meadi	1	1	1
Coloconger raniceps	1	1	1
Coloconger eximia	1	1	1
Coloconger scholesi	1	1	1
Coloconger cadenati	1	1	1
Derichthys serpentinus	1	1	0
Nessorhamphus danae	1	1	0
Nessorhamphus ingolfianus	1	1	0
Neocyema erythrosoma	0&1	0&1	0
Cyema atrum	1	1	0
Xenoconger fryeri	0	0	0
Robinsia catherinae	0	0	0
Chlopsis bidentatus	0	0	1
Chlopsis bicollaris	0	0	1
Chlopsis dentatus	0	0	1
Chlopsis olokun	0	0	1
Chlopsis apterus	0	0	1
Chlopsis kazuko	0	0	1
Chlopsis bicolor	0	0	1
Chlopsis slusserorum	0	0	1
Chlopsis longidens	0	0	1
Kaupichthys japonicus	1	1	1
Kaupichthys brachychirus	1	1	1
Kaupichthys atronasus	1	1	1
Kaupichthys hyoproroides	1	1	1
Kaupichthys nuchalis	1	1	1
Kaupichthys diodontus	1	1	1
Panturichthys isognathus	0	0	1
Panturichthys mauritanicus	0	0	1
Panturichthys longus	0	0	1
Panturichthys fowleri	0	0	1
Pythonichthys macrurus	0	0	1
Pythonichthys sanguineus	0	0	1
Pythonichthys microphthalmus	0	0	1
Pythonichthys asodes	0	0	1
Neoconger tuberculatus	0	0	1
Neoconger vermiformis	0	0	1
Neoconger mucronatus	0	0	1
Moringua bicolor	0	0	1
Moringua ferruginea	0	0	1
Moringua arundinacea	0	0	1
Moringua penni	0	0	1
Moringua abbreviata	0	0	1
Moringua raitaborua	0	0	1
Moringua macrocephalus	0	0	1
Moringua macrochir	0	0	1
Moringua microchir	0	0	1
Moringua edwardsi	1	1	0
Moringua javanica	0	0	1
Simenchelys parasitica	1	1	0
Thermobiotes mytilogeiton	0	0	0
Monognathus rajui	0	0	1
Monognathus rosenblatti	0	0	1
Monognathus berteli	0	0	1
Monognathus boehlkei	0	0	1
Monognathus smithi	0	0	1
Monognathus taningi	0	0	1
Monognathus bruuni	0	0	1
Monognathus bertini	0	0	1
Monognathus isaacsi	0	0	1
Monognathus jesse	0	0	1
Monognathus ahlstromi	0	0	1
Monognathus nigeli	0	0	1
Monognathus ozawai	0	0	1
Monognathus herringi	0	0	1
Monognathus jesperseni	0	0	1
Eurypharynx pelecanoides	1	2	1
Saccopharynx schmidti	1	1	1
Saccopharynx harrisoni	1	1	1
Saccopharynx ramosus	1	1	1
Saccopharynx paucovertebratis	1	1	1
Saccopharynx trilobatus	1	1	1
Saccopharynx hjorti	1	1	1
Saccopharynx thalassa	1	1	1
Saccopharynx berteli	1	1	1
Saccopharynx ampullaceus	1	1	1
Saccopharynx lavenbergi	1	1	1
Anguilla nigricans	1	1	1
Anguilla breviceps	1	1	1
Anguilla rostrata	1	1	1
Anguilla marmorata	1	1	1
Anguilla anguilla	1	1	1
Anguilla japonica	1	1	1
Anguilla obscura	1	1	1
Anguilla megastoma	1	1	1
Anguilla luzonensis	1	1	1
Anguilla malgumora	1	1	1
Anguilla dieffenbachii	1	1	1
Anguilla celebesensis	1	1	1
Anguilla reinhardtii	1	1	1
Anguilla mossambica	1	1	1
Anguilla interioris	1	1	1
Avocettina bowersii	1	1	1
Avocettina acuticeps	1	1	1
Avocettina infans	1	1	1
Labichthys yanoi	1	1	1
Labichthys carinatus	1	1	1
Nemichthys larseni	1	1	1
Nemichthys curvirostris	1	1	1
Nemichthys scolopaceus	1	1	1
Nettenchelys inion	0	0	1
Nettenchelys gephyra	0	0	1
Nettenchelys taylori	0	0	1
Nettenchelys dionisi	0	0	1
Nettenchelys erroriensis	0	0	1
Nettenchelys paxtoni	0	0	1
Nettenchelys pygmaea	0	0	1
Nettenchelys exoria	0	0	1
Hoplunnis similis	1	1	1
Hoplunnis macrura	1	1	1
Hoplunnis sicarius	1	1	1
Hoplunnis diomediana	1	1	1
Hoplunnis pacifica	1	1	1
Hoplunnis schmidti	1	1	1
Hoplunnis megista	1	1	1
Hoplunnis punctata	1	1	1
Hoplunnis tenuis	1	1	1
Saurenchelys cancrivora	0	0	1
Saurenchelys lateromaculatus	0	0	1
Saurenchelys halimyon	0	0	1
Saurenchelys stylura	0	0	1
Saurenchelys taiwanensis	0	0	1
Saurenchelys finitimus	0	0	1
Saurenchelys cognita	0	0	1
Saurenchelys meteori	0	0	1
Saurenchelys fierasfer	0	0	1
Facciolella karreri	0	0	1
